Name	can_be_leader	num_O	max_N	min_N	Last	3/1	3/2	3/3	3/4	3/5	3/6	3/7	3/8	3/9	3/10	3/11	3/12	3/13	3/14	3/15	3/16	3/17	3/18	3/19	3/20	3/21	3/22	3/23	3/24	3/25	3/26	3/27	3/28
min_workers_O					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
min_workers_D					6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
min_workers_N					3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
min_workers_G					3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
max_workers_O					10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
max_workers_D					10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
max_workers_N					3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
max_workers_G					3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ms.A	Y	8	5	4	D			O	O															N									
Mr.B		8	5	4	O							O				O													O	O			
Ms.C		8	2	2	O														O	O	O												
Ms.D	Y	8	5	4	N									N																			
Mr.E		8	5	4	D																						N	G	O	O			
Ms.F		8	5	4	G					N							O																
Ms.G	Y	8	5	4	G																												
Mr.H		8	5	4	G				O													N											
Ms.I		8	5	4	D								O																				
Ms.J	Y	8	5	4	O																			O						N			
Mr.K		8	5	4	N										O	O	O																
Ms.L		8	5	4	N																												
Ms.M	Y	8	5	4	O				O																		N			O			
Mr.N		8	5	4	O																												
Ms.O		8	5	4	O																				O								
Mr.P	Y	8	5	4	D						O								O													O	
Mr.Q		8	5	4	D											O																	
Mr.R		8	5	4	O				O																			N					
Mr.S	Y	8	5	4	O																			O									
Ms.T		8	5	4	D			O							O	O																	O
